2017-09-01_16:35:23('Task started, migrate_statement=', "SELECT page_title, platform FROM [Karma].[dbo].[KnownPages] where page_title like LOWER('bug%') and platform != 'xWiki'", 'title_like=', 'None')
2017-09-01_16:36:58(('SUCCESS: Page', '"Bug 42403 - VSS CopyOnly settings cannot be saved for the backup job with NetApp Snapshot target" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '72/1380')
2017-09-01_16:37:00(('SUCCESS: Page', '"Bug 52558 - VSS freeze fails on DB Exclusions if vCenter instance is using nonstandard port" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '73/1380')
2017-09-01_16:37:01(('SUCCESS: Page', '"Bug 88977 - Replica job fails with error Can\'t delete replica when it is being processed" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '74/1380')
2017-09-01_16:37:01(('SUCCESS: Page', '"Bug 42115 - Reversed incremental backup job fail if the job name contains non-Latin characters." from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '75/1380')
2017-09-01_16:37:02(('SUCCESS: Page', '"Bug 86265 - RestAPI fails to parse LSN numbers greater then UInt64" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '76/1380')
2017-09-01_16:37:06(('SUCCESS: Page', '"Bug 51677 - NFS ports are closed for too long so that cannot be reused" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '77/1380')
2017-09-01_16:37:07(('SUCCESS: Page', '"Bug 96290 - Repair procedure doesn\'t remove FIB from VBK if a reverse incremental job has failed processing that FIB for the first time" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '78/1380')
2017-09-01_16:37:09(('SUCCESS: Page', '"Bug 48061 - Veeam cannot apply retention policy for a replica "Failed to apply retention policy"" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '79/1380')
2017-09-01_16:37:10(('SUCCESS: Page', '"Bug 48597 - "Route traffic between NICs" doesn\'t work in SureBackup for VirtualLab created on 2021 build" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '80/1380')
2017-09-01_16:37:10(('SUCCESS: Page', '"Bug 110586 - Sequence contains no matching element in vCloud Director Self-Service Portal" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '81/1380')
2017-09-01_16:37:11(('SUCCESS: Page', '"Bug 40996 - Search for the nodes in HV cluster in Veeam DB is case sensitive" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '82/1380')
2017-09-01_16:37:12(('SUCCESS: Page', '"Bug 91658 - After upgrade to 9.5, jobs intermittently fail with SQL timeout on GetMetaInfoByBackupId" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '83/1380')
2017-09-01_16:37:15(('SUCCESS: Page', '"Bug 91206 - Restore to original location from cloud backup during WinFLR session fails" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '84/1380')
2017-09-01_16:37:17(('SUCCESS: Page', '"Bug 74133 - Backup task to HPE StoreOnce repository fails with "OSCLT ERR SERVER OFFLINE" error" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '85/1380')
2017-09-01_16:37:19(('SUCCESS: Page', '"Bug 88469 - Job shows "post-thaw script finished execution with exit code -1" on Hyper-V backup or replica with guest interaction proxy being used" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '86/1380')
2017-09-01_16:37:20(('SUCCESS: Page', '"Bug 76076 - Initial/first Oracle Log backup run collects all archived logs" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '87/1380')
2017-09-01_16:37:21(('SUCCESS: Page', '"Bug 75762 - Backup job completes with a warning "Failed to commit catalog transaction" even though indexing is disabled" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '88/1380')
2017-09-01_16:37:23(('SUCCESS: Page', '"Bug 105095 - Incr point not found. Possibly already transformed." from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '89/1380')
2017-09-01_16:37:24(('SUCCESS: Page', '"Bug 99217 - RMAN script execution fails after 1 hour" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '90/1380')
2017-09-01_16:37:24(('SUCCESS: Page', '"Bug 75638 - Add ASM instance detection not only via crs=true" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '91/1380')
2017-09-01_16:37:25(('SUCCESS: Page', '"Bug 96662 - GFS Tape, File to Tape may report 0,0 B size of the processed backup file" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '92/1380')
2017-09-01_16:37:26(('SUCCESS: Page', '"Bug 96565 - GFS Full backup on tape is skipped after synthetic full in source backup job if previous full backup was written on tape in the same media set" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '93/1380')
2017-09-01_16:37:26(('SUCCESS: Page', '"Bug 89511 - Retention mechanism does not work in per-VM backup copy job" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '94/1380')
2017-09-01_16:37:27(('SUCCESS: Page', '"Bug 47021 - Displaying or processing list of tenants could take significant time if there are a lot of tenants added." from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '95/1380')
2017-09-01_16:37:28(('SUCCESS: Page', '"Bug 40320 - Cloud Connect: GUI rounds down (floor) quota values to nearest integer (user properties and db hold correct values)" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '96/1380')
2017-09-01_16:37:29(('SUCCESS: Page', '"Bug 42308 - Backup copy job fails with an error "Unable to remove backup file by retention policy, because it still contains restore points"" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '97/1380')
2017-09-01_16:37:30(('SUCCESS: Page', '"Bug 98144 - FcCheckFilesystemIsAccessible gives Error code: 0x00000005 only at first attempt to mount volumes in WinFLR" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '98/1380')
2017-09-01_16:37:31(('SUCCESS: Page', '"Bug 104634 - VM Delete Button is inactive on Self-service portal" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '99/1380')
2017-09-01_16:37:32(('SUCCESS: Page', '"Bug 63240 - Encrypted backup chain containing SQL logs backup can not be imported from .vbm." from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '100/1380')
2017-09-01_16:37:32(('SUCCESS: Page', '"Bug 54241 - Doesn\'t work mapping for legacy HV repicas" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '101/1380')
2017-09-01_16:37:33(('SUCCESS: Page', '"Bug 89874 - Backups are not working with "Illegal characters in path" error after upgrade to 9.5" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '102/1380')
2017-09-01_16:37:35(('SUCCESS: Page', '"Bug 96454 - .vlb The process cannot access the file because it is being used by another process" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '103/1380')
2017-09-01_16:37:37(('SUCCESS: Page', '"Bug 81915 - If tape job fails on operations with TapeSession then the tape get Never in expiration date and the job session might be marked as Success" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '104/1380')
2017-09-01_16:37:38(('SUCCESS: Page', '"Bug 97709 - WinFLR to original location from backup imported from CIFS share fails with "Credentials exception"" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '105/1380')
2017-09-01_16:37:39(('SUCCESS: Page', '"Bug 97629 - Issue with VNX 1600: trying to perform NFS command on storage with iSCSI/FC only" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '106/1380')
2017-09-01_16:37:40(('SUCCESS: Page', '"Bug 98798 - Job to SOBR may fail with "No scale-out repository extents have sufficient disk space to store the backup file." when there is space on extent." from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '107/1380')
2017-09-01_16:37:42(('SUCCESS: Page', '"Bug 83668 - We cannot parse FC license with EMC Unity, FC is completely ignored after" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '108/1380')
2017-09-01_16:37:42(('SUCCESS: Page', '"Bug 108817 - Azure proxy instance may cause Veeam BR WMI corruption causing Veeam ONE collection failures" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '109/1380')
2017-09-01_16:37:46(('SUCCESS: Page', '"Bug 90669 - Cannot connect to agent on linux server behind the NAT" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '110/1380')
2017-09-01_16:37:47(('SUCCESS: Page', '"Bug 94532 - vApps are ignored if they are stored in folders or other vApps" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '111/1380')
2017-09-01_16:37:47(('SUCCESS: Page', '"Bug 109163 - Veeam doesn\'t set correct VLAN ID for Hyper-V replica with network mapping enabled" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '112/1380')
2017-09-01_16:37:48(('SUCCESS: Page', '"Bug 96935 - 100% CPU usage after starting a new agent" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '113/1380')
2017-09-01_16:37:49(('SUCCESS: Page', '"Bug 67506 - Oracle discovery could not find Oracle DB if inventory.xml has incorrect records" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '114/1380')
2017-09-01_16:37:50(('SUCCESS: Page', '"Bug 96673 - vCloud restore from Enterprise Manager ignores storage quota" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '115/1380')
2017-09-01_16:37:52(('SUCCESS: Page', '"Bug 78736 - Transform on the StoreOnce SOBR repository fails with OSCLT ERR OBJECT LOCK FAILED" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '116/1380')
2017-09-01_16:37:53(('SUCCESS: Page', '"Bug 93441 - Replicas of VMs with Fault Tolerance enabled cannot be powered on" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '117/1380')
2017-09-01_16:37:54(('SUCCESS: Page', '"Bug 81041 - Our explorer doesn\'t re-create paths for LOG ARCHIVE DEST NNN initialization parameter" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '118/1380')
2017-09-01_16:37:56(('SUCCESS: Page', '"Bug 37882 - SQL connections leak" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '119/1380')
2017-09-01_16:37:57(('SUCCESS: Page', '"Bug 88074 - Restore in VEOR doesn\'t work for Oracle Windows database in case the user password contains special symbols ( $ % %26 )" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '120/1380')
2017-09-01_16:37:58(('SUCCESS: Page', '"Bug 42485 - Chinese 2008R2 backup server doesn\'t allow to create backup copy jobs with the error "Specified argument was out of the range of valid values"" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '121/1380')
2017-09-01_16:37:59(('SUCCESS: Page', '"Bug 103626 - Failed to execute SQL query "CREATE TABLE" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '122/1380')
2017-09-01_16:38:00(('SUCCESS: Page', '"Bug 44195 - Cannot add 3Par using DNS or netbois name" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '123/1380')
2017-09-01_16:38:01(('SUCCESS: Page', '"Bug 78339 - GFS job hangs with source changed detected if source is per-vm and storage for 1 vm is missing" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '124/1380')
2017-09-01_16:38:01(('SUCCESS: Page', '"Bug 105348 - Failed to make digest files (CBT is not available for disk)" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '125/1380')
2017-09-01_16:38:02(('SUCCESS: Page', '"Bug 102467 - Button "I don’t see my VM" is missing" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '126/1380')
2017-09-01_16:38:05(('SUCCESS: Page', '"Bug 78498 - Start-Continue-End sessionTape could take too long and also logs are huge because of that" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '127/1380')
2017-09-01_16:38:07(('SUCCESS: Page', '"Bug 41505 - FileToTape job may fail due to long path in the Linux source" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '128/1380')
2017-09-01_16:38:08(('SUCCESS: Page', '"Bug 46090 - Application items restore wizard show restore points available for only one job even if VM was backed up by multiple jobs" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '129/1380')
2017-09-01_16:38:09(('SUCCESS: Page', '"Bug 94274 - Job resets CBT on every run when excluded disks are resized" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '130/1380')
2017-09-01_16:38:10(('SUCCESS: Page', '"Bug 66920 - RestAPI requests to tenant entities fail with error "Specified cast is not valid"" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '131/1380')
2017-09-01_16:38:10(('SUCCESS: Page', '"Bug 105115 - Restored file size is different from original file size" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '132/1380')
2017-09-01_16:38:11(('SUCCESS: Page', '"Bug 67880 - Job uses an extent that has smaller amount of free space" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '133/1380')
2017-09-01_16:38:12(('SUCCESS: Page', '"Bug 73737 - Start to for "cloud failover plan" restore replicas from points only in accordance with UTC time" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '134/1380')
2017-09-01_16:38:12(('SUCCESS: Page', '"Bug 98320 - Invalid shift offset during veor mount" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '135/1380')
